"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.0","...","1021.9","2020-01-01 09:21","1001.8","2020-01-26 15:02","17.3","28.6","2020-01-23 14:26","7.5","2020-01-31 04:05","...","1.0","76","11.0","66","2020-01-08 14:41","38.0","...","6","...","...","...","...","25.5","2020-01-26 00:00","77","...","...","...","...","...","...","..."
"02","1013.8","...","1022.5","2020-02-17 20:31","1004.4","2020-02-15 14:51","18.1","29.5","2020-02-12 12:11","9.6","2020-02-01 05:31","...","0.9","81","12.1","45","2020-02-06 12:40","33.5","...","7","...","...","...","...","14.0","2020-02-04 00:00","75","...","...","...","...","...","...","..."
"03","1008.4","...","1016.4","2020-03-05 08:16","997.9","2020-03-09 14:21","20.0","32.3","2020-03-26 15:14","13.2","2020-03-05 04:46","...","0.9","82","11.5","121","2020-03-16 10:28","250.0","...","13","...","...","...","...","64.0","2020-03-13 00:00","78","...","...","...","...","...","...","..."
"04","1009.2","...","1014.9","2020-04-04 21:31","1001.9","2020-04-19 16:45","20.1","32.2","2020-04-30 13:32","10.5","2020-04-13 02:33","...","1.0","78","11.5","145","2020-04-29 22:08","84.0","...","14","...","...","...","...","19.0","2020-04-23 00:00","76","...","...","...","...","...","...","..."
"05","1001.6","...","1008.0","2020-05-13 08:41","994.3","2020-05-18 03:06","26.1","36.2","2020-05-09 13:26","21.4","2020-05-12 11:49","...","0.6","73","12.1","296","2020-05-06 09:40","451.0","...","16","...","...","...","...","129.0","2020-05-28 00:00","81","...","...","...","...","...","...","..."
"06","1000.3","...","1006.9","2020-06-14 21:41","994.7","2020-06-21 16:35","29.8","38.1","2020-06-24 13:43","23.3","2020-06-26 14:21","...","0.6","254","12.1","252","2020-06-04 14:22","141.5","...","9","...","...","...","...","55.5","2020-06-26 00:00","71","...","...","...","...","...","...","..."
"07","1000.1","...","1004.8","2020-07-21 09:05","994.2","2020-07-09 16:31","30.1","37.6","2020-07-10 12:51","23.7","2020-07-02 17:31","...","0.6","90","45.8","329","2020-07-14 13:49","265.0","...","9","...","...","...","...","122.5","2020-07-26 00:00","71","...","...","...","...","...","...","..."
"08","999.4","...","1008.0","2020-08-12 21:05","990.8","2020-08-25 14:51","29.6","37.7","2020-08-25 13:21","24.2","2020-08-27 17:31","...","0.8","62","13.2","52","2020-08-21 15:07","349.5","...","13","...","...","...","...","135.0","2020-08-03 00:00","72","...","...","...","...","...","...","..."
"09","1002.3","...","1006.9","2020-09-19 08:55","993.4","2020-09-01 03:11","27.1","37.2","2020-09-02 13:01","20.0","2020-09-30 06:34","...","0.5","71","10.4","286","2020-09-01 13:57","144.5","...","14","...","...","...","...","37.0","2020-09-27 00:00","76","...","...","...","...","...","...","..."
"10","1007.3","...","1014.5","2020-10-30 09:31","999.2","2020-10-04 14:29","23.7","35.3","2020-10-04 12:11","18.5","2020-10-23 08:27","...","1.2","72","11.5","117","2020-10-24 11:39","80.5","...","16","...","...","...","...","20.0","2020-10-13 00:00","79","...","...","...","...","...","...","..."
"11","1011.1","...","1018.2","2020-11-30 09:07","1002.0","2020-11-06 15:31","22.5","33.4","2020-11-19 12:42","17.0","2020-11-29 03:31","...","1.3","80","13.2","78","2020-11-07 01:22","55.0","...","14","...","...","...","...","19.5","2020-11-13 00:00","78","...","...","...","...","...","...","..."
"12","1012.8","...","1023.0","2020-12-31 08:42","1004.4","2020-12-29 14:31","17.4","26.2","2020-12-29 12:24","6.9","2020-12-31 05:52","...","1.0","78","11.0","64","2020-12-20 18:23","253.5","...","25","...","...","...","...","41.0","2020-12-01 00:00","87","...","...","...","...","...","...","..."
