"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.0","...","1024.4","2020-01-01 09:35","1005.4","2020-01-26 14:53","16.5","27.1","2020-01-05 12:34","6.5","2020-01-31 02:11","...","2.1","39","13.3","40","2020-01-08 11:29","59.0","...","10","...","...","...","...","38.5","2020-01-26 00:00","77","...","...","...","...","...","...","..."
"02","1016.8","...","1025.2","2020-02-17 20:44","1007.1","2020-02-15 15:28","17.2","28.3","2020-02-25 14:31","6.6","2020-02-01 06:41","...","2.2","44","13.7","83","2020-02-23 11:17","66.5","...","6","...","...","...","...","46.5","2020-02-16 00:00","77","...","...","...","...","...","...","..."
"03","1011.2","...","1018.9","2020-03-05 09:26","1000.6","2020-03-09 15:28","19.5","32.5","2020-03-26 12:04","11.4","2020-03-15 04:37","...","2.0","46","13.6","99","2020-03-16 11:19","193.0","...","13","...","...","...","...","58.5","2020-03-13 00:00","80","...","...","...","...","...","...","..."
"04","1011.8","...","1017.4","2020-04-04 21:16","1004.4","2020-04-19 16:58","20.1","30.0","2020-04-29 13:59","8.7","2020-04-13 05:11","...","2.2","53","13.4","81","2020-04-28 16:06","71.0","...","15","...","...","...","...","14.0","2020-04-11 00:00","74","...","...","...","...","...","...","..."
"05","1004.1","...","1010.2","2020-05-13 08:52","996.5","2020-05-18 03:20","26.1","33.8","2020-05-17 14:09","20.1","2020-05-01 03:01","...","1.6","51","13.9","265","2020-05-06 01:23","338.5","...","12","...","...","...","...","82.0","2020-05-22 00:00","80","...","...","...","...","...","...","..."
"06","1002.8","...","1009.1","2020-06-14 21:41","997.2","2020-06-21 16:59","29.1","34.9","2020-06-26 12:54","23.5","2020-06-08 19:31","...","2.5","224","13.5","261","2020-06-06 13:04","32.5","...","6","...","...","...","...","20.0","2020-06-07 00:00","74","...","...","...","...","...","...","..."
"07","1002.6","...","1007.4","2020-07-21 22:40","996.7","2020-07-09 14:27","30.4","38.7","2020-07-31 11:43","24.5","2020-07-02 16:36","...","2.3","225","13.9","95","2020-07-30 21:54","19.5","...","1","...","...","...","...","19.5","2020-07-02 00:00","68","...","...","...","...","...","...","..."
"08","1001.9","...","1010.3","2020-08-12 22:31","994.7","2020-08-26 16:07","29.7","38.0","2020-08-19 12:56","24.3","2020-08-03 14:41","...","1.9","7","14.3","99","2020-08-21 15:16","357.5","...","12","...","...","...","...","257.5","2020-08-03 00:00","73","...","...","...","...","...","...","..."
"09","1004.9","...","1009.6","2020-09-19 09:33","996.6","2020-09-01 03:17","26.9","34.9","2020-09-02 13:33","19.9","2020-09-27 06:01","...","1.5","44","10.0","344","2020-09-01 06:30","162.0","...","12","...","...","...","...","59.0","2020-09-27 00:00","78","...","...","...","...","...","...","..."
"10","1009.5","...","1016.9","2020-10-30 09:27","1002.2","2020-10-04 15:17","24.1","35.4","2020-10-03 12:40","18.4","2020-10-22 17:41","...","3.7","63","15.7","78","2020-10-20 10:23","40.0","...","10","...","...","...","...","15.5","2020-10-22 00:00","76","...","...","...","...","...","...","..."
"11","1013.1","...","1020.2","2020-11-30 09:29","1002.7","2020-11-06 14:22","22.7","32.0","2020-11-06 13:01","17.2","2020-11-29 02:52","...","3.7","60","15.5","75","2020-11-06 14:02","25.0","...","8","...","...","...","...","12.0","2020-11-13 00:00","77","...","...","...","...","...","...","..."
"12","1015.2","...","1025.6","2020-12-31 08:58","1007.4","2020-12-28 22:37","17.2","23.6","2020-12-26 14:06","6.2","2020-12-31 07:12","...","3.1","2","14.5","82","2020-12-28 13:44","138.5","...","21","...","...","...","...","25.0","2020-12-09 00:00","89","...","...","...","...","...","...","..."
