"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.1","1020.1","1029.6","2020-01-01 08:37","1007.4","2020-01-26 15:05","18.3","27.9","2020-01-07 13:02","8.0","2020-01-30 23:09","13.9","2.1","90","18.7","350","2020-01-27 00:39","31.9","70.7","6","5.0","2020-01-24 16:53","8.5","2020-01-24 17:30","20.0","2020-01-24 00:00","76","49.5","94.8","279.16","...","...","...","7.8"
"02","1021.3","1022.3","1030.8","2020-02-17 20:52","1011.8","2020-02-15 15:06","18.4","29.3","2020-02-26 11:13","8.9","2020-02-18 00:02","14.3","1.9","280","12.9","120","2020-02-22 13:36","40.0","79.7","11","1.0","2020-02-24 00:13","2.5","2020-02-05 05:58","7.2","2020-02-23 00:00","77","44.5","76.6","281.63","...","...","...","8.2"
"03","1015.5","1016.4","1024.1","2020-03-05 09:54","1003.5","2020-03-09 14:43","20.5","30.5","2020-03-26 12:46","13.0","2020-03-15 06:14","16.6","1.7","280","12.9","30","2020-03-28 13:55","68.7","104.3","14","3.0","2020-03-27 18:49","5.0","2020-03-27 21:53","14.1","2020-03-05 00:00","79","48.5","98.6","345.38","...","...","...","7.9"
"04","1016.3","1017.3","1021.9","2020-04-05 22:11","1008.4","2020-04-19 16:32","20.4","30.9","2020-04-19 12:45","10.8","2020-04-13 00:06","16.2","1.9","110","14.6","360","2020-04-13 08:51","124.2","127.4","14","2.5","2020-04-28 19:09","7.5","2020-04-23 04:51","41.6","2020-04-23 00:00","78","54.8","81.4","320.90","...","...","...","8.2"
"05","1008.3","1009.2","1015.0","2020-05-13 08:55","1000.7","2020-05-22 15:10","25.8","33.6","2020-05-15 12:48","21.0","2020-05-01 03:59","23.0","1.6","100","13.8","180","2020-05-17 11:29","342.3","108.7","17","10.5","2020-05-21 15:56","37.0","2020-05-21 15:35","106.4","2020-05-21 00:00","85","78.6","88.8","410.62","7","13","2020-05-29 12:00","8.4"
"06","1007.1","1008.0","1013.4","2020-06-14 21:47","1002.7","2020-06-30 16:45","29.0","35.8","2020-06-27 13:12","24.2","2020-06-10 04:39","24.9","1.7","290","10.3","180","2020-06-13 14:13","116.0","40.7","8","10.0","2020-06-07 12:37","35.5","2020-06-07 12:37","56.4","2020-06-07 00:00","79","135.9","216.6","636.45","...","...","...","6.1"
"07","1007.2","1008.1","1012.0","2020-07-21 22:50","1001.6","2020-07-09 16:43","29.6","36.2","2020-07-20 12:03","24.3","2020-07-03 04:57","25.1","1.9","280","13.8","150","2020-07-31 14:49","56.0","33.4","12","5.5","2020-07-16 14:41","11.0","2020-07-16 13:53","16.5","2020-07-16 00:00","77","146.3","230.8","655.87","...","...","...","6.0"
"08","1006.5","1007.4","1014.8","2020-08-12 21:39","999.3","2020-08-25 15:23","29.4","35.7","2020-08-10 12:39","24.7","2020-08-24 05:05","24.5","2.2","130","14.9","190","2020-08-10 16:04","194.5","37.2","9","24.0","2020-08-27 15:38","88.0","2020-08-27 15:21","106.5","2020-08-27 00:00","76","141.3","231.4","647.06","...","...","...","5.7"
"09","1009.2","1010.1","1013.6","2020-09-27 09:17","999.4","2020-09-01 03:07","27.0","35.3","2020-09-02 11:37","20.8","2020-09-30 22:28","22.3","1.8","280","17.6","350","2020-09-06 13:29","168.5","68.4","13","21.5","2020-09-09 17:13","55.5","2020-09-09 16:55","75.5","2020-09-12 00:00","76","78.2","128.3","409.66","7","12","2020-09-02 12:00","7.4"
