"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.5","...","1026.3","2020-01-01 09:32","1006.3","2020-01-26 14:01","17.4","27.1","2020-01-23 13:04","7.9","2020-01-31 05:18","...","1.1","4","14.3","47","2020-01-08 14:23","39.0","...","5","...","...","...","...","26.0","2020-01-26 00:00","75","...","...","...","...","...","...","..."
"02","1018.3","...","1027.5","2020-02-17 21:26","1008.1","2020-02-15 15:31","18.1","28.1","2020-02-13 12:41","9.2","2020-02-16 16:31","...","1.1","51","12.1","29","2020-02-18 14:47","31.5","...","5","...","...","...","...","20.5","2020-02-16 00:00","74","...","...","...","...","...","...","..."
"03","1012.7","...","1021.0","2020-03-05 09:42","1001.7","2020-03-09 14:42","20.1","31.5","2020-03-26 12:22","13.2","2020-03-15 06:21","...","1.2","16","12.6","233","2020-03-10 01:04","228.0","...","16","...","...","...","...","71.5","2020-03-13 00:00","79","...","...","...","...","...","...","..."
"04","1013.4","...","1019.2","2020-04-04 21:11","1005.4","2020-04-19 16:47","20.3","30.0","2020-04-29 12:01","11.1","2020-04-13 03:21","...","1.2","72","12.1","89","2020-04-28 14:50","66.0","...","15","...","...","...","...","14.0","2020-04-11 00:00","74","...","...","...","...","...","...","..."
"05","1005.5","...","1012.0","2020-05-13 08:25","998.0","2020-05-18 03:13","26.3","33.1","2020-05-04 12:32","21.8","2020-05-28 04:32","...","0.9","72","13.2","41","2020-05-13 13:13","366.0","...","14","...","...","...","...","94.0","2020-05-28 00:00","81","...","...","...","...","...","...","..."
"06","1004.0","...","1010.9","2020-06-14 21:11","997.6","2020-06-21 16:51","29.8","36.2","2020-06-05 15:41","24.4","2020-06-02 03:52","...","1.0","251","11.5","264","2020-06-06 13:35","96.5","...","7","...","...","...","...","66.5","2020-06-14 00:00","70","...","...","...","...","...","...","..."
"07","1003.9","...","1008.9","2020-07-21 09:01","997.9","2020-07-09 14:32","30.4","36.0","2020-07-19 12:21","23.9","2020-07-02 17:04","...","1.1","77","27.0","72","2020-07-31 10:27","92.0","...","6","...","...","...","...","61.0","2020-07-02 00:00","67","...","...","...","...","...","...","..."
"08","1003.3","...","1011.9","2020-08-12 20:56","995.1","2020-08-26 13:32","29.8","36.0","2020-08-30 11:31","24.5","2020-08-11 14:30","...","1.3","75","12.6","85","2020-08-21 13:34","306.5","...","12","...","...","...","...","98.5","2020-08-11 00:00","71","...","...","...","...","...","...","..."
"09","1006.3","...","1010.9","2020-09-19 10:11","997.0","2020-09-01 14:32","27.8","36.7","2020-09-02 12:34","20.2","2020-09-30 07:01","...","0.9","75","10.4","74","2020-09-04 16:24","124.5","...","12","...","...","...","...","48.0","2020-09-27 00:00","72","...","...","...","...","...","...","..."
"10","1011.3","...","1018.6","2020-10-30 09:21","1002.3","2020-10-04 14:45","24.6","35.6","2020-10-04 12:54","18.7","2020-10-09 02:31","...","2.0","54","13.2","53","2020-10-24 11:23","14.0","...","7","...","...","...","...","4.0","2020-10-23 00:00","75","...","...","...","...","...","...","..."
"11","1015.1","...","1022.4","2020-11-30 09:00","1005.7","2020-11-06 16:50","23.3","32.1","2020-11-07 11:10","17.9","2020-11-29 22:41","...","2.1","76","15.4","76","2020-11-06 23:10","12.0","...","5","...","...","...","...","6.0","2020-11-13 00:00","76","...","...","...","...","...","...","..."
"12","1017.0","...","1027.5","2020-12-31 08:41","1008.5","2020-12-29 14:21","18.0","25.9","2020-12-29 11:31","6.7","2020-12-31 06:31","...","1.5","78","11.5","348","2020-12-30 06:17","85.5","...","19","...","...","...","...","22.5","2020-12-09 00:00","89","...","...","...","...","...","...","..."
