"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","988.1","...","997.3","2020-01-01 09:24","978.3","2020-01-26 14:21","15.6","29.9","2020-01-07 14:14","5.3","2020-01-31 00:01","...","2.7","93","15.4","76","2020-01-08 16:20","67.0","...","9","...","...","...","...","45.0","2020-01-26 00:00","X","...","...","...","...","...","...","..."
"02","989.9","...","997.6","2020-02-17 20:31","980.7","2020-02-16 03:04","17.4","29.9","2020-02-24 12:51","5.4","2020-02-17 17:51","...","2.7","5","15.4","86","2020-02-23 13:39","52.5","...","5","...","...","...","...","32.0","2020-02-16 00:00","79","...","...","...","...","...","...","..."
"03","984.7","...","991.9","2020-03-05 09:31","974.5","2020-03-09 15:23","18.1","35.9","2020-03-26 13:52","9.3","2020-03-29 02:51","...","2.5","86","14.8","87","2020-03-16 09:26","154.0","...","15","...","...","...","...","50.0","2020-03-10 00:00","89","...","...","...","...","...","...","..."
"04","985.3","...","990.7","2020-04-04 21:02","978.6","2020-04-19 16:41","18.4","33.6","2020-04-30 13:53","10.2","2020-04-12 05:29","...","2.9","84","14.8","96","2020-04-22 13:08","68.5","...","14","...","...","...","...","12.5","2020-04-11 00:00","87","...","...","...","...","...","...","..."
"05","978.5","...","984.5","2020-05-13 08:34","969.7","2020-05-22 13:39","24.6","35.4","2020-05-15 10:21","16.7","2020-05-19 12:45","...","1.9","113","14.3","234","2020-05-06 02:18","287.5","...","13","...","...","...","...","65.5","2020-05-22 00:00","91","...","...","...","...","...","...","..."
"06","977.5","...","983.9","2020-06-14 21:35","972.0","2020-06-21 17:01","28.4","38.1","2020-06-27 11:52","19.8","2020-06-08 04:03","...","2.3","240","15.4","231","2020-06-04 12:44","47.5","...","5","...","...","...","...","30.5","2020-06-07 00:00","78","...","...","...","...","...","...","..."
"07","977.5","...","982.3","2020-07-21 07:44","970.7","2020-07-16 13:07","29.1","38.7","2020-07-18 17:33","19.5","2020-07-02 19:56","...","2.1","241","16.0","245","2020-07-16 08:39","99.0","...","6","...","...","...","...","64.0","2020-07-02 00:00","74","...","...","...","...","...","...","..."
"08","976.9","...","985.4","2020-08-12 21:01","968.9","2020-08-03 15:12","28.1","36.9","2020-08-24 13:51","20.7","2020-08-11 14:16","...","2.4","87","16.5","115","2020-08-21 13:29","169.0","...","11","...","...","...","...","78.0","2020-08-03 00:00","79","...","...","...","...","...","...","..."
"09","979.6","...","984.3","2020-09-19 08:51","968.9","2020-09-01 06:35","25.6","37.4","2020-09-07 16:01","15.7","2020-09-27 06:53","...","1.8","7","11.5","228","2020-09-02 01:30","179.0","...","12","...","...","...","...","55.0","2020-09-27 00:00","X","...","...","...","...","...","...","..."
"10","983.8","...","990.8","2020-10-30 09:51","973.8","2020-10-04 14:11","22.5","33.1","2020-10-02 16:23","16.7","2020-10-22 21:12","...","3.9","10","17.1","104","2020-10-27 12:17","19.5","...","11","...","...","...","...","9.0","2020-10-22 00:00","X","...","...","...","...","...","...","..."
"11","987.2","...","994.1","2020-11-30 09:01","977.7","2020-11-06 14:58","21.1","32.9","2020-11-18 16:01","12.8","2020-11-29 19:12","...","4.1","90","19.8","108","2020-11-06 13:53","16.5","...","7","...","...","...","...","8.5","2020-11-13 00:00","95","...","...","...","...","...","...","..."
"12","988.6","...","997.8","2020-12-31 09:42","978.5","2020-12-29 14:41","15.4","24.8","2020-12-29 14:23","3.8","2020-12-31 06:13","...","3.3","11","17.6","84","2020-12-28 13:46","107.0","...","20","...","...","...","...","24.0","2020-12-09 00:00","98","...","...","...","...","...","...","..."
