"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.9","...","1016.9","2020-01-01 09:42","998.2","2020-01-26 14:12","16.8","27.0","2020-01-23 12:38","6.4","2020-01-31 04:52","...","0.5","125","9.4","137","2020-01-08 15:47","43.0","...","6","...","...","...","...","34.5","2020-01-26 00:00","76","...","...","...","...","...","...","..."
"02","1009.7","...","1018.2","2020-02-17 20:39","1000.2","2020-02-15 15:31","17.6","29.3","2020-02-14 12:38","7.2","2020-02-17 20:01","...","0.5","121","9.9","130","2020-02-23 14:22","46.5","...","6","...","...","...","...","24.5","2020-02-16 00:00","74","...","...","...","...","...","...","..."
"03","1004.2","...","1011.8","2020-03-05 09:21","993.8","2020-03-09 15:22","19.7","32.6","2020-03-26 13:37","12.5","2020-03-05 04:16","...","0.5","121","8.5","117","2020-03-05 23:21","218.0","...","14","...","...","...","...","76.5","2020-03-10 00:00","77","...","...","...","...","...","...","..."
"04","1004.8","...","1010.5","2020-04-04 21:06","998.0","2020-04-19 17:03","19.9","31.1","2020-04-29 12:05","7.5","2020-04-17 03:36","...","0.6","117","9.4","94","2020-04-23 12:51","88.0","...","14","...","...","...","...","18.5","2020-04-11 00:00","74","...","...","...","...","...","...","..."
"05","997.4","...","1003.2","2020-05-13 09:06","989.9","2020-05-18 03:12","26.2","34.6","2020-05-09 14:32","15.4","2020-05-01 00:01","...","0.5","118","8.3","123","2020-05-13 17:00","365.0","...","16","...","...","...","...","93.5","2020-05-28 00:00","78","...","...","...","...","...","...","..."
"06","996.2","...","1002.7","2020-06-14 21:55","990.8","2020-06-21 16:57","29.8","36.4","2020-06-29 14:13","18.4","2020-06-07 13:21","...","0.5","267","9.4","287","2020-06-04 13:25","90.0","...","6","...","...","...","...","56.5","2020-06-14 00:00","69","...","...","...","...","...","...","..."
"07","996.1","...","1000.8","2020-07-21 09:14","990.5","2020-07-09 16:43","30.7","38.4","2020-07-31 14:20","22.2","2020-07-04 21:02","...","0.5","265","9.0","265","2020-07-16 10:17","87.0","...","5","...","...","...","...","58.0","2020-07-02 00:00","66","...","...","...","...","...","...","..."
"08","995.4","...","1003.9","2020-08-12 20:59","988.0","2020-08-25 15:08","29.6","38.0","2020-08-06 13:42","23.6","2020-08-15 17:21","...","0.5","120","9.4","283","2020-08-23 11:43","282.0","...","11","...","...","...","...","153.0","2020-08-03 00:00","72","...","...","...","...","...","...","..."
"09","998.3","...","1002.8","2020-09-19 09:32","990.1","2020-09-01 03:24","27.2","36.2","2020-09-02 14:10","16.4","2020-09-04 20:22","...","0.3","113","6.8","293","2020-09-02 15:36","152.5","...","10","...","...","...","...","45.0","2020-09-27 00:00","76","...","...","...","...","...","...","..."
"10","1002.6","...","1009.9","2020-10-30 09:35","995.2","2020-10-04 14:26","23.8","34.6","2020-10-03 12:38","17.4","2020-10-23 08:12","...","1.1","118","9.8","114","2020-10-25 10:29","43.5","...","12","...","...","...","...","11.0","2020-10-22 00:00","78","...","...","...","...","...","...","..."
"11","1006.2","...","1013.2","2020-11-30 09:24","996.2","2020-11-06 15:18","22.5","29.9","2020-11-18 14:25","16.4","2020-11-10 04:52","...","1.3","120","11.6","131","2020-11-23 16:05","21.5","...","9","...","...","...","...","11.5","2020-11-13 00:00","77","...","...","...","...","...","...","..."
"12","1008.1","...","1018.5","2020-12-31 08:42","1000.4","2020-12-28 16:52","17.2","23.6","2020-12-10 12:53","6.1","2020-12-31 06:51","...","1.0","116","9.1","108","2020-12-20 12:08","123.0","...","23","...","...","...","...","25.0","2020-12-09 00:00","87","...","...","...","...","...","...","..."
