"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.9","...","1025.8","2020-01-01 09:01","1005.4","2020-01-26 15:11","16.7","27.2","2020-01-07 14:51","6.4","2020-01-31 01:27","...","1.3","33","10.4","30","2020-01-08 16:08","69.5","...","10","...","...","...","...","32.0","2020-01-26 00:00","87","...","...","...","...","...","...","..."
"02","1017.8","...","1026.8","2020-02-18 09:42","1008.0","2020-02-13 14:45","17.3","28.4","2020-02-25 12:51","7.0","2020-02-01 06:11","...","1.4","38","11.5","355","2020-02-16 03:03","82.5","...","12","...","...","...","...","24.5","2020-02-04 00:00","85","...","...","...","...","...","...","..."
"03","1012.2","...","1020.6","2020-03-05 08:34","1000.9","2020-03-09 14:32","19.5","32.0","2020-03-22 15:11","11.3","2020-03-15 06:32","...","1.5","37","12.6","90","2020-03-16 14:54","199.0","...","16","...","...","...","...","55.0","2020-03-10 00:00","88","...","...","...","...","...","...","..."
"04","1012.9","...","1018.6","2020-04-04 21:11","1005.0","2020-04-19 16:31","19.4","31.6","2020-04-30 13:11","9.7","2020-04-13 02:52","...","1.3","38","12.1","149","2020-04-29 22:07","125.0","...","17","...","...","...","...","30.0","2020-04-23 00:00","86","...","...","...","...","...","...","..."
"05","1005.0","...","1011.7","2020-05-13 08:31","998.1","2020-05-17 15:51","25.6","34.9","2020-05-09 12:41","20.8","2020-05-01 04:01","...","1.2","3","11.0","152","2020-05-16 14:26","480.5","...","18","...","...","...","...","119.0","2020-05-28 00:00","90","...","...","...","...","...","...","..."
"06","1003.5","...","1010.2","2020-06-14 21:41","997.8","2020-06-21 16:51","29.3","37.8","2020-06-18 14:51","23.9","2020-06-10 05:14","...","1.0","3","12.6","238","2020-06-22 08:56","116.5","...","12","...","...","...","...","33.0","2020-06-01 00:00","80","...","...","...","...","...","...","..."
"07","1003.4","...","1008.0","2020-07-21 06:13","997.6","2020-07-09 14:32","29.7","36.9","2020-07-10 13:01","24.2","2020-07-25 14:18","...","1.1","4","18.7","144","2020-07-25 13:57","206.0","...","9","...","...","...","...","83.0","2020-07-01 00:00","80","...","...","...","...","...","...","..."
"08","1002.8","...","1011.4","2020-08-12 21:51","994.5","2020-08-25 15:12","29.4","37.5","2020-08-25 14:02","24.5","2020-08-04 04:31","...","1.3","39","12.6","93","2020-08-21 14:38","286.0","...","10","...","...","...","...","119.5","2020-08-03 00:00","80","...","...","...","...","...","...","..."
"09","1005.7","...","1010.5","2020-09-27 09:11","996.7","2020-09-01 03:01","26.5","36.5","2020-09-02 12:31","20.1","2020-09-30 06:52","...","1.1","21","9.9","37","2020-09-04 16:18","355.5","...","18","...","...","...","...","138.5","2020-09-20 00:00","88","...","...","...","...","...","...","..."
"10","1010.9","...","1018.0","2020-10-30 09:33","1002.4","2020-10-04 14:13","23.5","32.4","2020-10-04 11:01","18.5","2020-10-22 23:35","...","1.9","34","11.5","92","2020-10-24 10:57","344.5","...","21","...","...","...","...","49.0","2020-10-13 00:00","88","...","...","...","...","...","...","..."
"11","1014.7","...","1022.0","2020-11-30 09:17","1005.7","2020-11-19 14:51","22.1","32.0","2020-11-18 14:11","17.0","2020-11-30 06:13","...","1.9","36","19.3","145","2020-11-07 01:55","206.5","...","22","...","...","...","...","37.5","2020-11-13 00:00","89","...","...","...","...","...","...","..."
"12","1016.4","...","1026.6","2020-12-31 08:42","1007.5","2020-12-29 13:01","17.1","25.0","2020-12-29 12:41","6.9","2020-12-31 06:01","...","1.8","40","12.6","44","2020-12-30 01:54","700.5","...","28","...","...","...","...","107.0","2020-12-01 00:00","97","...","...","...","...","...","...","..."
