"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.1","1020.5","1027.5","2020-01-01 09:59","1008.2","2020-01-26 14:04","16.8","26.8","2020-01-23 13:55","7.3","2020-01-31 23:11","13.6","1.7","20","13.4","330","2020-01-26 17:55","71.0","11.7","9","7.0","2020-01-26 07:38","9.0","2020-01-26 08:28","43.5","2020-01-26 00:00","82","...","124.8","318.41","...","...","...","..."
"02","1019.9","1022.3","1028.7","2020-02-18 09:10","1010.0","2020-02-15 14:39","17.3","27.6","2020-02-13 14:40","7.1","2020-02-01 00:42","14.5","1.7","20","14.9","50","2020-02-16 05:35","50.5","11.5","6","3.5","2020-02-07 05:58","6.5","2020-02-16 03:40","34.5","2020-02-16 00:00","85","...","156.1","418.20","...","...","...","..."
"03","1014.3","1016.7","1022.4","2020-03-05 09:38","1003.7","2020-03-09 15:23","19.6","30.8","2020-03-26 12:00","10.5","2020-03-15 06:07","17.0","1.5","160","16.9","310","2020-03-10 00:52","139.5","23.0","14","5.5","2020-03-10 02:13","15.0","2020-03-10 02:01","46.0","2020-03-10 00:00","86","...","95.0","372.77","...","...","...","..."
"04","1015.2","1017.6","1020.9","2020-04-04 21:00","1008.0","2020-04-19 16:35","20.1","30.5","2020-04-29 12:55","9.7","2020-04-13 04:33","16.1","1.7","160","12.1","150","2020-04-28 23:55","70.0","15.0","13","2.5","2020-04-22 04:58","6.5","2020-04-22 04:08","14.5","2020-04-02 00:00","79","...","113.6","414.23","...","...","...","..."
"05","1007.4","1009.7","1013.7","2020-05-13 08:31","1000.1","2020-05-18 03:20","25.9","34.2","2020-05-09 13:00","20.9","2020-05-13 02:06","22.7","1.2","150","12.1","60","2020-05-13 22:51","316.0","45.4","14","12.0","2020-05-18 10:43","46.5","2020-05-18 10:25","66.5","2020-05-21 00:00","84","...","122.9","506.39","...","...","...","..."
"06","1006.1","1008.4","1012.5","2020-06-14 21:36","1000.9","2020-06-21 16:43","29.1","35.2","2020-06-29 12:01","23.5","2020-06-08 19:02","23.3","1.1","150","12.8","270","2020-06-21 12:28","49.0","9.5","7","3.0","2020-06-26 16:43","6.5","2020-06-14 16:41","23.5","2020-06-07 00:00","73","...","220.6","694.01","...","...","...","..."
"07","1005.9","1008.2","1010.7","2020-07-21 08:50","1000.5","2020-07-09 16:40","29.9","36.7","2020-07-31 13:07","24.4","2020-07-03 01:26","21.3","1.3","150","14.0","150","2020-07-31 04:57","129.5","6.1","6","22.0","2020-07-01 16:38","58.0","2020-07-02 15:47","73.0","2020-07-02 00:00","62","...","226.1","718.64","...","...","...","..."
"08","1005.3","1007.6","1013.9","2020-08-12 21:16","997.9","2020-08-25 14:53","29.2","36.1","2020-08-01 13:18","24.8","2020-08-05 03:50","23.3","1.3","150","14.6","110","2020-08-21 14:56","296.5","20.5","13","25.5","2020-08-27 12:52","98.0","2020-08-03 11:12","166.0","2020-08-03 00:00","72","...","212.0","657.22","...","...","...","..."
"09","1008.3","1010.6","1012.7","2020-09-27 08:36","999.4","2020-09-01 03:24","26.6","33.7","2020-09-29 12:34","20.2","2020-09-27 05:25","22.0","1.1","150","10.5","330","2020-09-03 07:41","106.5","31.2","10","9.0","2020-09-12 17:02","14.0","2020-09-12 16:53","53.5","2020-09-27 00:00","78","...","157.3","494.24","...","...","...","..."
