"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","991.8","...","1001.0","2020-01-01 09:34","982.4","2020-01-26 15:07","15.5","26.2","2020-01-23 13:03","6.1","2020-01-31 03:32","...","2.5","114","16.0","109","2020-01-08 18:56","39.5","...","10","...","...","...","...","26.0","2020-01-26 00:00","79","...","...","...","...","...","...","..."
"02","993.7","...","1001.7","2020-02-17 20:40","984.9","2020-02-15 14:46","16.2","27.6","2020-02-25 16:50","6.9","2020-02-17 23:52","...","2.3","100","14.0","127","2020-02-06 11:07","38.0","...","6","...","...","...","...","22.0","2020-02-16 00:00","77","...","...","...","...","...","...","..."
"03","988.4","...","995.6","2020-03-05 09:28","978.3","2020-03-09 15:14","18.2","31.0","2020-03-26 13:16","11.2","2020-03-29 00:31","...","2.0","93","14.2","340","2020-03-28 13:57","237.5","...","16","...","...","...","...","87.5","2020-03-13 00:00","81","...","...","...","...","...","...","..."
"04","989.1","...","994.5","2020-04-04 21:15","982.0","2020-04-19 17:12","18.4","29.0","2020-04-29 11:58","9.5","2020-04-13 02:41","...","2.4","107","14.3","98","2020-04-24 10:18","94.5","...","15","...","...","...","...","21.0","2020-04-23 00:00","77","...","...","...","...","...","...","..."
"05","982.1","...","988.0","2020-05-13 09:06","974.9","2020-05-18 03:16","24.5","32.0","2020-05-04 12:01","19.9","2020-05-01 04:31","...","1.5","100","13.7","247","2020-05-18 10:37","365.0","...","17","...","...","...","...","88.0","2020-05-28 00:00","82","...","...","...","...","...","...","..."
"06","981.1","...","987.4","2020-06-14 21:52","975.6","2020-06-21 17:05","28.2","34.3","2020-06-24 12:12","22.4","2020-06-02 02:52","...","1.4","246","12.8","247","2020-06-21 11:16","88.5","...","7","...","...","...","...","46.5","2020-06-14 00:00","75","...","...","...","...","...","...","..."
"07","981.0","...","985.7","2020-07-21 10:03","975.2","2020-07-09 16:21","28.9","35.9","2020-07-13 12:27","22.6","2020-07-02 16:50","...","1.3","246","11.6","281","2020-07-25 13:50","143.0","...","7","...","...","...","...","95.0","2020-07-02 00:00","73","...","...","...","...","...","...","..."
"08","980.1","...","988.7","2020-08-12 21:08","972.7","2020-08-25 14:55","27.9","34.6","2020-08-25 13:08","23.2","2020-08-03 15:18","...","1.8","245","13.9","121","2020-08-18 13:52","294.0","...","11","...","...","...","...","150.5","2020-08-03 00:00","77","...","...","...","...","...","...","..."
"09","983.0","...","987.7","2020-09-19 09:37","974.7","2020-09-01 03:20","25.4","34.0","2020-09-02 12:25","18.4","2020-09-30 07:56","...","1.6","244","11.9","277","2020-09-01 11:41","178.5","...","11","...","...","...","...","54.5","2020-09-27 00:00","80","...","...","...","...","...","...","..."
"10","987.3","...","994.3","2020-10-30 09:19","980.0","2020-10-04 14:48","22.3","33.5","2020-10-04 13:33","16.4","2020-10-23 08:48","...","3.0","96","15.3","93","2020-10-24 16:14","42.5","...","13","...","...","...","...","12.0","2020-10-23 00:00","82","...","...","...","...","...","...","..."
"11","990.8","...","997.4","2020-11-30 09:38","981.8","2020-11-06 16:42","21.0","29.6","2020-11-18 13:35","15.7","2020-11-29 22:52","...","3.2","101","15.5","71","2020-11-11 12:40","27.0","...","12","...","...","...","...","14.0","2020-11-13 00:00","81","...","...","...","...","...","...","..."
"12","992.2","...","1001.7","2020-12-31 08:57","984.5","2020-12-29 14:49","15.9","23.2","2020-12-29 11:47","4.5","2020-12-31 06:42","...","2.7","106","15.9","16","2020-12-30 02:50","139.5","...","24","...","...","...","...","31.0","2020-12-09 00:00","91","...","...","...","...","...","...","..."
