車輛,車號,路線,道路名稱,路線起點,路線迄點,街道長度,洗掃次數,維護里程
"1車
",501-UP,路線一,台3線,東龍街,桃園市與新竹縣交接處,11.6,2,23.2
"1車
",501-UP,路線一,中正路全段,北龍路,石門路,7.6,2,15.2
"1車
",501-UP,路線一,神龍路,中正路,龍元路,1.3,2,2.6
"1車
",501-UP,路線一,龍源路,石門路,台3線,5,2,10
"1車
",501-UP,路線一,福龍路,東豐路,華南路一段,4.5,2,9
"1車
",501-UP,路線一,金陵路,東豐路,環南路三段,5,2,10
"1車
",501-UP,路線二,康莊路,瑞安路一段,福山路,10.6,2,21.2
"1車
",501-UP,路線二,員林路,介壽路,東龍街,4.6,2,9.2
"1車
",501-UP,路線二,瑞安路,員林路一段,康莊路,5.2,2,10.4
"1車
",501-UP,路線二,石園路,員林路,中正路,4.7,2,9.4
"1車
",501-UP,路線二,文化路,中正路,石園路,1.8,2,3.6
"1車
",501-UP,路線二,中正路三坑段,文化路,龍源路,2.8,2,5.6
"1車
",501-UP,路線二,龍源路,石門路,台3線,5,2,10
"1車
",501-UP,路線二,石門路,龍源路,康莊路五段,1.8,2,3.6
"1車
",501-UP,路線三,台3線,東龍街,桃園市與新竹縣交接處,11.6,2,23.2
"1車
",501-UP,路線三,中正路全段,北龍路,石門路,7.6,2,15.2
"1車
",501-UP,路線三,龍源路,石門路,台3線,5,2,10
"1車
",501-UP,路線三,中豐路,大昌路一段,快速路三段,6.7,2,13.4
"1車
",501-UP,路線四,中正路全段,北龍路,石門路,7.6,2,15.2
"1車
",501-UP,路線四,神龍路,中正路,龍元路,1.3,2,2.6
"1車
",501-UP,路線四,龍源路,石門路,台3線,5,2,10
"1車
",501-UP,路線四,中興路,東龍街,大昌路一段,4,4,16
"1車
",501-UP,路線四,聖亭路,龍元路,湧光路,3.2,2,6.4
"1車
",501-UP,路線四,大昌路,北龍路,聖亭路,3.2,2,6.4
"1車
",501-UP,路線四,新龍路,中正路,中豐路,1.6,2,3.2
"1車
",501-UP,路線四,福龍路,東豐路,華南路一段,4.5,2,9
2車,502-UP,路線一,南青路,南崁路二段,中正東路二段,5.7,1,5.7
2車,502-UP,路線一,華興路,大觀路,田溪路,7.4,2,14.8
2車,502-UP,路線一,國際路全段,光明街,大觀路,8.6,2,17.2
2車,502-UP,路線一,三民路,國際路二段,富國路三段,5,2,10
2車,502-UP,路線一,中正北路,南工路,同安街,3.5,2,7
2車,502-UP,路線一,富國路,南崁路二段,永安路,6.8,2,13.6
2車,502-UP,路線一,中正路,復興路,同安街,4.8,2,9.6
2車,502-UP,路線一,復興路,三民路,三民路三段,2,2,4
2車,502-UP,路線二,領航北路,高鐵北路二段,高鐵南路三段,4.2,2,8.4
2車,502-UP,路線二,領航南路,高鐵北路二段,中豐北路二段,3.7,2,7.4
2車,502-UP,路線二,高鐵北路,青埔路一段,中正東路二段,3.1,2,6.2
2車,502-UP,路線二,高鐵南路,青埔路一段,中正路三段,3.9,2,7.8
2車,502-UP,路線二,南青路,南崁路二段,中正東路二段,5.7,1,5.7
2車,502-UP,路線二,南崁路,南華一街,八股路,4.5,2,9
2車,502-UP,路線二,長興路,六福路,南崁路二段,4.3,2,8.6
2車,502-UP,路線二,南山路,中正路,海山路,4.3,2,8.6
2車,502-UP,路線二,南工路,東溪路,富國路三段,1.8,2,3.6
2車,502-UP,路線二,長安路,長安路一段,東溪路,1.2,2,2.4
2車,502-UP,路線二,中正路,南崁路一段,華南一街,0.9,2,1.8
2車,502-UP,路線二,新南路,榮興路,愛河路,1.45,2,2.9
2車,502-UP,路線二,春日路,新南路二段,三民路,3.8,2,7.6
2車,502-UP,路線二,經國路,新南路二段,春日路,3.1,2,6.2
2車,502-UP,路線三,南青路,南崁路二段,中正東路二段,5.7,1,5.7
2車,502-UP,路線三,中正東路,中山北路,中正東路二段,5.1,2,10.2
2車,502-UP,路線三,中山南路,領航北路三段,中山北路,5.9,2,11.8
2車,502-UP,路線三,大竹路,新興街,南青路,4.5,2,9
2車,502-UP,路線三,新生路,中正東路二段,大新路,2.5,2,5
2車,502-UP,路線三,南竹路,大竹路,光明路二段,4,2,8
2車,502-UP,路線三,大新路,龍安街三段,大竹路,1.15,2,2.3
2車,502-UP,路線三,永安路,新興街,三民路,4.2,2,8.4
2車,502-UP,路線三,國際路二段,慈文路,中山路,2.5,2,5
2車,502-UP,路線三,大興西路二段,永安路,文中路,3.5,2,7
2車,502-UP,路線三,三民路,長壽路,復興路,3,2,6
